Node ID,No. Provinces,Mean HHI,Major Dialect Ratio,Admin Share (%),Mean Entropy (Raw),Mean Entropy (Scaled),Mean L2 Norm (Raw),Mean L2 Norm (Scaled),Mean Total Persistence (Raw),Mean Total Persistence (Scaled),No. of Provinces in each Region,Provinces Included
12,1,6.03220237008659,1/1,42.44,0.9515451468758026,-0.8412643964791824,3.2405683119728397,0.7806458864158697,53.00099957433705,3.331609958307071,BARMM (1),MAGUINDANAO
4,5,5.777646889503977,2/5,35.44,0.9547962361226409,-0.6342095670872087,0.6865025415908989,-0.16422225952416952,5.389176701073928,-1.096847352424622,"Region 2 (1), Region 10 (1), Region 13 (1), NCR (1), Region 4-B (1)","BATANES, CAMIGUIN, DINAGAT ISLANDS, NCR - MANILA, OCCIDENTAL MINDORO"
18,1,5.7692288438244566,1/1,42.64,0.8823482895027472,-5.248262300880616,23.529473155441757,8.286458823932973,33.308076776480476,1.4999374309605915,BARMM (1),TAWI-TAWI
3,1,5.69915818895909,1/1,48.81,0.9277401829800311,-2.357350964362351,5.389301176238712,1.5755624704456201,32.74116643487834,1.4472081277058066,BARMM (1),BASILAN
10,2,5.672777408126073,1/2,39.98,0.9350631821442346,-1.8909650156972238,5.108517214949858,1.4716873768637406,24.59790959045185,0.6897898410365645,BARMM (2),"LANAO DEL SUR, SULU"
17,1,5.48081231298611,1/1,32.73,0.9372656194804166,-1.750696554186002,0.3498330998184427,-0.2887720009329971,1.7841135870326752,-1.43216045617874,NCR (1),TAGUIG - PATEROS
9,1,5.4623962014311,1/1,41.41,0.9106966162987228,-3.442818794832056,6.273696676069436,1.9027416472284513,36.05257642833192,1.755208051031037,Region 10 (1),LANAO DEL NORTE
13,29,5.346853933190351,11/29,34.81,0.9693626028251917,0.29349076454491796,0.3563966748559608,-0.2863438281551635,8.69188344824133,-0.7896569329645501,"Region 3 (4), Region 11 (4), Region 4-A (3), NCR (3), Region 6 (2), Region 10 (2), CAR (2), Region 4-B (2), Region 12 (2), Region 8 (1), Region 5 (1), Region 2 (1), Region 7 (1), Region 13 (1)","AKLAN, AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO OCCIDENTAL, DAVAO ORIENTAL, GUIMARAS, IFUGAO, KALINGA, LAGUNA, MARINDUQUE, MISAMIS ORIENTAL, NCR - FOURTH DISTRICT, NCR - MANILA, NCR - SECOND DISTRICT, QUIRINO, RIZAL, ROMBLON, SARANGANI, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR, ZAMBALES"
2,26,5.337053323141597,9/26,34.16,0.974758028021185,0.6371137040074172,0.26864600208685113,-0.3188068979969165,9.039714461032258,-0.7573045738542207,"Region 3 (6), CAR (3), Region 5 (2), Region 4-A (2), Region 4-B (2), NCR (2), Region 2 (2), Region 8 (1), Region 11 (1), Region 6 (1), Region 1 (1), Region 7 (1), Region 12 (1), Region 13 (1)","APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CATANDUANES, CAVITE, DAVAO DE ORO, GUIMARAS, IFUGAO, LA UNION, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NCR - SECOND DISTRICT, NCR - THIRD DISTRICT, NUEVA VIZCAYA, PAMPANGA, QUIRINO, ROMBLON, SIQUIJOR, SOUTH COTABATO, SURIGAO DEL SUR, TARLAC, ZAMBALES"
16,1,5.18527158861813,1/1,39.4,0.9353965477225226,-1.8697336843812027,2.95380016739293,0.6745569641077473,16.99090881766694,-0.01775034860608766,Region 12 (1),SULTAN KUDARAT
1,38,5.1268330779164515,9/38,36.0,0.9686721282508952,0.24951593508753872,0.46843612378454064,-0.24489520627200023,13.50906265055468,-0.34160283278077386,"Region 11 (5), Region 13 (4), Region 6 (3), CAR (3), Region 3 (3), Region 4-A (3), Region 4-B (3), Region 8 (2), Region 10 (2), Region 1 (2), Region 2 (2), Region 12 (2), Region 5 (1), NCR (1), Region 7 (1), Region 9 (1)","AGUSAN DEL NORTE, AGUSAN DEL SUR, AKLAN, ALBAY, ANTIQUE, BENGUET, BILIRAN, BUKIDNON, BULACAN, CAPIZ, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO DEL SUR, DAVAO OCCIDENTAL, DAVAO ORIENTAL, EASTERN SAMAR, IFUGAO, ILOCOS NORTE, KALINGA, LA UNION, LAGUNA, MISAMIS ORIENTAL, NCR - SECOND DISTRICT, NEGROS ORIENTAL, NUEVA ECIJA, NUEVA VIZCAYA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, QUIRINO, RIZAL, ROMBLON, SARANGANI, SOUTH COTABATO, SURIGAO DEL NORTE, SURIGAO DEL SUR, ZAMBOANGA SIBUGAY"
0,10,5.110978054802108,3/10,37.81,0.9601368580894005,-0.2940769265422573,0.8422284042956172,-0.10661199401142336,15.439298478440113,-0.1620682876282154,"CAR (2), Region 13 (1), Region 10 (1), Region 6 (1), Region 11 (1), Region 8 (1), Region 1 (1), Region 4-B (1), Region 9 (1)","ABRA, AGUSAN DEL SUR, BUKIDNON, CAPIZ, DAVAO OCCIDENTAL, EASTERN SAMAR, ILOCOS NORTE, KALINGA, OCCIDENTAL MINDORO, ZAMBOANGA SIBUGAY"
5,19,4.912906439867594,4/19,35.26,0.9742575873591655,0.6052417226411557,0.41478404685326575,-0.2647436138751863,18.971774540766326,0.16649336994230235,"Region 1 (3), Region 3 (3), Region 5 (2), Region 6 (2), Region 2 (2), Region 4-B (2), Region 4-A (1), CAR (1), Region 7 (1), Region 11 (1), Region 10 (1)","ALBAY, ANTIQUE, BATANGAS, BENGUET, BOHOL, CAGAYAN, DAVAO DEL SUR, ILOCOS SUR, LA UNION, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, NUEVA ECIJA, NUEVA VIZCAYA, ORIENTAL MINDORO, PALAWAN, PAMPANGA, PANGASINAN, SORSOGON, TARLAC"
8,2,4.903559218950245,1/2,35.57,0.9429488867808924,-1.3887415748099832,2.043453585997356,0.33777727092174953,25.355398983770158,0.7602452287786277,"Region 12 (1), Region 8 (1)","COTABATO, NORTHERN SAMAR"
15,21,4.891527392157029,6/21,36.3,0.9689772350984184,0.26894752907458425,0.6224845923907635,-0.18790548713289704,21.077175854631093,0.3623203573951256,"Region 6 (3), Region 1 (3), Region 5 (2), Region 7 (2), Region 10 (2), Region 8 (2), Region 9 (2), Region 13 (1), Region 2 (1), Region 11 (1), Region 3 (1), Region 4-B (1)","AGUSAN DEL SUR, ALBAY, ANTIQUE, BOHOL, BUKIDNON, CAGAYAN, CAPIZ, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS NORTE, ILOCOS SUR, MASBATE, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, NEGROS ORIENTAL, NUEVA ECIJA, PALAWAN, PANGASINAN, SOUTHERN LEYTE, ZAMBOANGA DEL NORTE, ZAMBOANGA SIBUGAY"
14,2,4.73741958693868,1/2,39.71,0.9608207592792866,-0.250520741694202,1.9806052019545417,0.31452672005712523,40.64937352290772,2.1827640333678513,"Region 8 (1), Region 9 (1)","SAMAR, ZAMBOANGA DEL SUR"
6,10,4.625021992050079,3/10,35.41,0.9733428069380837,0.5469813398471771,0.5874157519736509,-0.20087908812995714,26.922144892088426,0.9059709530429518,"Region 2 (2), Region 1 (2), Region 7 (1), Region 5 (1), Region 10 (1), Region 6 (1), Region 4-A (1), Region 9 (1)","BOHOL, CAGAYAN, CAMARINES SUR, ILOCOS SUR, ISABELA, MISAMIS OCCIDENTAL, NEGROS OCCIDENTAL, PANGASINAN, QUEZON, ZAMBOANGA DEL NORTE"
7,4,4.61744469077673,1/4,33.37,0.9654250197021088,0.042714627728764706,1.0359189780058249,-0.03495680979889683,30.785693123317476,1.265326200908474,"Region 7 (1), Region 6 (1), Region 2 (1), Region 5 (1)","CEBU, ILOILO, ISABELA, MASBATE"
11,1,4.16670251067348,1/1,38.43,0.9628851619387557,-0.11904340963744345,1.301377225555053,0.06324858690426742,52.289057996694424,3.2653910510260427,Region 8 (1),LEYTE
