Node ID,No. Provinces,Mean GINI,Major Dialect Ratio,Admin Share (%),Mean Entropy (Raw),Mean Entropy (Scaled),Mean L2 Norm (Raw),Mean L2 Norm (Scaled),Mean Total Persistence (Raw),Mean Total Persistence (Scaled),No. of Provinces in each Region,Provinces Included
13,1,0.8132909395840907,1/1,30.06,0.9506909369847925,-0.7189254825172138,9.12646648655889,1.4152726892299825,31.97032737959828,0.3921412847819944,Region 9 (1),SULU
0,4,0.7950556395193322,1/4,32.02,0.9483490422352147,-0.8516120069333796,2.654197640761307,0.11646506626261205,26.690429440503962,0.07681286020152503,"CAR (1), Region 13 (1), Region 11 (1), Region 12 (1)","ABRA, AGUSAN DEL SUR, DAVAO OCCIDENTAL, SULTAN KUDARAT"
10,2,0.781033711960459,1/2,31.47,0.9667213351179698,0.1893210617317155,2.759966640637587,0.1376900163668005,82.20432828748093,3.39223873919863,"Region 8 (1), Region 9 (1)","LEYTE, ZAMBOANGA DEL SUR"
12,3,0.77699489518778,1/3,42.84,0.9670799432955385,0.2096389998958349,2.1703908476872016,0.01937825391611253,56.58832081802131,1.8623880919772562,"Region 7 (1), Region 10 (1), Region 8 (1)","CEBU, MISAMIS OCCIDENTAL, SAMAR"
6,15,0.7721618223106002,5/15,33.64,0.9682047711373455,0.2733692324021481,0.9509959194577878,-0.2253210108896813,32.607460057270075,0.43019240732574676,"Region 8 (3), Region 10 (2), Region 2 (2), Region 9 (2), Region 11 (1), Region 1 (1), Region 5 (1), NIR (1), Region 4-B (1), Region 4-A (1)","BUKIDNON, CAGAYAN, DAVAO DEL SUR, EASTERN SAMAR, ILOCOS SUR, ISABELA, MASBATE, MISAMIS ORIENTAL, NEGROS OCCIDENTAL, NORTHERN SAMAR, PALAWAN, QUEZON, SOUTHERN LEYTE, ZAMBOANGA DEL NORTE, ZAMBOANGA SIBUGAY"
1,16,0.7636189526505301,4/16,31.17,0.9575166403198967,-0.3321963810517804,1.268671322641024,-0.1615722320435246,18.758050909893445,-0.39692819579744965,"Region 13 (3), Region 3 (2), Region 11 (2), Region 1 (2), Region 12 (2), Region 6 (1), Region 2 (1), CAR (1), Region 10 (1), Region 4-B (1)","AGUSAN DEL NORTE, AGUSAN DEL SUR, AKLAN, BATAAN, CAGAYAN, DAVAO DE ORO, DAVAO OCCIDENTAL, ILOCOS NORTE, KALINGA, LA UNION, MISAMIS ORIENTAL, OCCIDENTAL MINDORO, PAMPANGA, SARANGANI, SOUTH COTABATO, SURIGAO DEL NORTE"
8,30,0.7540977147376187,13/30,35.62,0.9715338228669788,0.46198586587226703,0.49763887849628036,-0.3162973894603979,11.715868425022425,-0.8175045656777098,"Region 3 (5), Region 4-B (4), CAR (3), Region 4-A (3), NCR (3), Region 6 (2), Region 5 (2), Region 11 (2), Region 2 (2), Region 8 (1), Region 10 (1), Region 13 (1), NIR (1)","AKLAN, APAYAO, AURORA, BATAAN, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CATANDUANES, CAVITE, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, GUIMARAS, IFUGAO, LAGUNA, MARINDUQUE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - FOURTH DISTRICT, NATIONAL CAPITAL REGION - SECOND DISTRICT, NATIONAL CAPITAL REGION - THIRD DISTRICT, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, QUIRINO, RIZAL, ROMBLON, SIQUIJOR, TARLAC, ZAMBALES"
7,2,0.7520143347411725,1/2,16.45,0.9260300172315159,-2.1161581000625693,5.758568473939469,0.7394275232791052,41.08737290413593,0.9366335524817775,"Region 12 (1), BARMM (1)","COTABATO, LANAO DEL SUR"
2,42,0.7513900682347219,11/42,35.97,0.9722457365178607,0.502321302824308,0.5721452539294131,-0.30134599441211385,17.51076879844664,-0.4714189355327313,"Region 5 (5), Region 4-B (5), CAR (4), Region 3 (4), Region 4-A (4), Region 6 (3), Region 8 (3), Region 11 (3), Region 13 (2), Region 1 (2), NIR (2), Region 2 (2), Region 10 (1), NCR (1), Region 12 (1)","AKLAN, ALBAY, ANTIQUE, APAYAO, AURORA, BATANGAS, BENGUET, BILIRAN, BULACAN, CAMARINES NORTE, CAMIGUIN, CAPIZ, CATANDUANES, CAVITE, DAVAO DE ORO, DAVAO DEL NORTE, DAVAO ORIENTAL, DINAGAT ISLANDS, EASTERN SAMAR, IFUGAO, ILOCOS SUR, LAGUNA, MARINDUQUE, MASBATE, MOUNTAIN PROVINCE, NATIONAL CAPITAL REGION - SECOND DISTRICT, NEGROS ORIENTAL, NORTHERN SAMAR, NUEVA ECIJA, NUEVA VIZCAYA, OCCIDENTAL MINDORO, ORIENTAL MINDORO, PALAWAN, PANGASINAN, QUIRINO, RIZAL, ROMBLON, SARANGANI, SIQUIJOR, SORSOGON, SURIGAO DEL SUR, TARLAC"
5,8,0.7474112333826541,1/8,34.72,0.9730550480716494,0.5481750873555906,0.6744961782778529,-0.2808069587310136,40.81619952160054,0.9204384145284649,"Region 7 (2), Region 5 (2), Region 6 (1), Region 2 (1), Region 4-A (1), Region 9 (1)","BOHOL, CAMARINES SUR, CEBU, ILOILO, ISABELA, MASBATE, QUEZON, ZAMBOANGA DEL NORTE"
11,2,0.745516109566095,2/2,21.37,0.9420136946676985,-1.2105586461253028,5.873310703594113,0.7624531555731788,49.14152792117435,1.4176473982314652,BARMM (2),"MAGUINDANAO DEL NORTE, MAGUINDANAO DEL SUR"
4,3,0.7382649635712837,2/3,35.83,0.9541388526568685,-0.5235742836256815,0.4907080264619181,-0.31768822220705273,5.085346527323192,-1.2134955579783004,"Region 3 (1), Region 2 (1), NCR (1)","BATAAN, BATANES, NATIONAL CAPITAL REGION - MANILA"
9,1,0.737392959783343,1/1,20.71,0.8642162936581825,-5.618385577896944,35.49105707443864,6.7059260980706155,53.33857181361347,1.668305129453619,Region 10 (1),LANAO DEL NORTE
3,1,0.732576478300172,1/1,15.32,0.9190206880399484,-2.5132910323113635,12.254703686373402,2.043024474325755,59.55590799484706,2.0396196597211933,BARMM (1),BASILAN
14,1,0.7284814692998093,1/1,19.43,0.9012737089949381,-3.518795215961601,27.66288535084743,5.135025792361055,59.88109208970899,2.0590404495762766,BARMM (1),TAWI-TAWI
